producto_id,nombre_producto,origen,categoria,ingrediente_clave,precio_usd,satisfaccion_1_5,mejora_acne_pct,mejora_manchas_pct,mejora_textura_pct,tolerancia_piel_sensible_pct,indice_calidad_precio_0_100,tamano_muestra_resenas
COR-001,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,16.36,4.55,36.3,36.5,67.2,79.7,95.4,1765
COR-002,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,14.28,4.68,39.0,28.4,52.2,77.7,85.6,1055
COR-003,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,20.49,4.17,36.0,15.2,66.9,81.8,76.6,2294
COR-004,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,25.91,4.72,13.7,41.2,59.8,71.0,84.4,114
COR-005,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,26.36,4.19,42.7,17.3,62.9,100.0,72.3,895
COR-006,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,21.31,4.74,47.0,11.6,57.6,82.3,89.4,958
COR-007,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,15.3,4.07,50.7,33.4,34.4,85.2,68.3,1575
COR-008,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,22.64,4.61,49.2,36.8,59.0,83.7,82.7,280
COR-009,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,11.71,3.55,51.2,28.2,47.9,93.8,71.7,1040
COR-010,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,12.54,4.45,41.9,29.2,56.7,89.4,75.9,472
COR-011,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,24.73,3.99,42.0,16.2,49.2,81.4,81.8,2358
COR-012,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,24.41,4.59,55.7,24.8,43.9,77.0,82.2,1131
COR-013,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,11.97,4.09,21.2,26.6,59.5,78.7,73.8,1386
COR-014,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,15.23,4.53,53.3,27.1,25.4,85.5,80.7,763
COR-015,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,16.97,3.97,31.8,33.0,37.4,75.4,64.1,1716
COR-016,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,17.76,3.89,38.7,54.6,50.1,85.0,59.5,1775
COR-017,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,13.67,5.0,52.8,27.9,45.1,89.3,96.0,2010
COR-018,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,23.53,4.29,44.1,35.4,52.3,70.0,77.5,2035
COR-019,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,11.6,4.3,33.6,36.5,39.8,87.4,85.3,720
COR-020,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,10.81,4.22,52.0,38.7,54.1,67.6,84.9,2271
COR-021,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,23.47,4.41,53.7,13.9,53.8,84.6,66.6,2335
COR-022,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,19.22,3.64,45.4,42.2,54.3,90.5,53.4,1036
COR-023,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,26.88,4.67,26.5,22.5,40.7,89.7,83.3,539
COR-024,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,17.92,4.77,65.3,31.5,57.4,67.0,89.8,1879
COR-025,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,17.76,4.9,44.5,57.3,52.9,67.9,81.5,626
COR-026,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,22.24,4.79,37.9,31.9,58.1,78.5,69.1,686
COR-027,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,9.28,3.88,19.8,25.5,60.6,84.1,74.3,1975
COR-028,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,24.18,4.49,24.2,43.9,43.4,71.7,74.2,325
COR-029,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,44.97,3.61,26.7,35.2,57.1,87.2,54.3,479
COR-030,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,11.61,4.87,38.8,25.9,70.9,75.2,87.9,1228
COR-031,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,14.42,4.37,39.7,33.5,33.2,91.7,90.0,1071
COR-032,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,18.11,4.22,66.7,48.4,65.6,90.3,79.0,1773
COR-033,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,13.95,4.25,32.2,45.9,47.7,74.7,76.9,2011
COR-034,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,30.36,3.9,23.6,26.7,47.3,75.5,66.1,567
COR-035,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,14.76,4.39,44.9,51.3,54.3,98.6,81.2,1076
COR-036,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,14.63,4.0,33.9,21.8,59.0,88.0,56.0,436
COR-037,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,7.95,5.0,20.8,25.6,53.3,96.4,100.0,1428
COR-038,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,22.25,4.31,49.7,45.4,55.4,91.3,83.2,1648
COR-039,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,13.64,5.0,14.6,28.5,57.9,84.8,91.5,1705
COR-040,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,21.71,4.05,23.1,21.8,71.5,81.6,68.7,808
COR-041,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,9.46,3.99,48.5,35.5,44.9,64.1,69.6,116
COR-042,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,22.43,4.88,47.2,18.9,43.4,89.9,68.4,675
COR-043,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,13.71,4.04,49.4,27.6,60.5,79.3,89.2,964
COR-044,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,30.7,4.83,40.4,22.0,37.6,84.7,84.5,830
COR-045,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,14.45,4.51,31.2,21.8,54.4,84.4,79.1,1525
COR-046,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,4.0,4.42,51.9,25.2,45.4,95.6,98.9,1961
COR-047,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,21.3,3.94,15.5,24.3,37.1,97.9,73.3,2038
COR-048,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,22.83,4.57,44.2,45.3,50.9,86.0,76.7,1013
COR-049,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,17.27,4.98,34.6,30.5,55.9,79.3,97.7,2174
COR-050,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,24.11,3.77,55.4,39.6,73.5,74.3,64.8,1115
COR-051,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,29.12,3.86,35.2,20.1,47.1,69.9,56.6,948
COR-052,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,11.71,3.86,42.1,48.8,61.5,76.2,75.3,1661
COR-053,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,9.81,5.0,17.2,31.4,62.4,78.9,94.2,1342
COR-054,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,19.93,5.0,41.5,19.0,55.4,81.1,92.3,1713
COR-055,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,22.21,4.47,60.9,33.2,53.9,98.0,73.2,1981
COR-056,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,4.0,4.98,27.8,20.6,55.3,79.4,95.4,850
COR-057,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,24.8,4.89,38.8,50.6,69.6,79.5,90.6,657
COR-058,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,11.92,4.98,40.4,30.5,68.1,94.7,94.7,2097
COR-059,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,20.31,4.4,11.9,25.1,65.3,91.8,77.7,1955
COR-060,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,8.87,4.7,42.6,29.7,31.3,81.1,94.9,1986
COR-061,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,21.93,3.21,62.4,12.4,67.0,72.9,47.3,1967
COR-062,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,12.29,5.0,62.7,26.8,47.5,77.2,89.4,1508
COR-063,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,12.27,5.0,66.6,37.9,49.1,78.3,88.9,2174
COR-064,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,22.3,4.16,29.6,32.1,50.9,79.8,78.2,1356
COR-065,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,29.18,4.31,41.8,29.6,52.6,83.9,69.6,1415
COR-066,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,9.81,4.36,42.8,22.2,56.7,88.5,69.1,1295
COR-067,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,24.17,3.92,20.9,23.5,41.2,98.9,66.3,2238
COR-068,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,4.0,5.0,56.8,35.6,72.8,95.9,100.0,1621
COR-069,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,16.64,4.41,48.1,29.9,35.6,87.0,78.3,2477
COR-070,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,16.33,3.16,38.6,21.7,54.7,81.5,47.8,1835
COR-071,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,30.48,4.3,43.4,38.2,57.7,84.9,80.6,1748
COR-072,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,14.79,4.26,31.2,20.0,54.8,54.6,75.3,2217
COR-073,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,6.21,4.19,39.7,37.6,52.1,90.8,74.8,340
COR-074,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,21.71,3.23,50.1,24.2,60.4,70.7,65.3,2023
COR-075,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,9.31,4.94,43.6,24.4,67.1,76.9,95.7,1935
COR-076,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,14.9,4.48,45.0,35.0,59.6,88.4,85.7,157
COR-077,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,27.11,3.2,42.3,27.3,61.5,79.5,45.0,1968
COR-078,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,23.81,3.18,38.2,46.8,55.3,79.8,34.1,2231
COR-079,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,15.2,3.86,41.4,31.7,57.7,73.3,73.6,2115
COR-080,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,15.54,4.92,43.8,45.8,61.7,89.2,87.3,1937
COR-081,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,11.15,4.54,42.0,40.4,46.9,79.3,81.7,2174
COR-082,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,29.94,4.49,55.0,25.3,52.3,80.6,78.9,2196
COR-083,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,19.49,3.71,29.8,13.2,45.9,89.6,71.4,435
COR-084,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,20.93,3.83,30.8,43.0,45.7,77.0,63.1,1934
COR-085,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,22.63,3.77,29.2,14.2,66.2,74.0,67.9,654
COR-086,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,23.88,4.96,50.6,27.5,51.3,90.1,86.9,1018
COR-087,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,12.96,4.54,19.6,40.4,45.0,72.9,84.9,928
COR-088,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,13.26,3.56,28.4,28.4,52.0,83.6,65.7,2342
COR-089,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,28.26,4.97,34.0,25.5,30.8,67.7,87.8,848
COR-090,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,26.72,4.88,34.9,45.0,25.5,92.9,67.7,910
COR-091,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,15.94,4.15,29.4,31.1,50.2,87.1,86.4,134
COR-092,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,13.07,4.36,43.8,22.3,51.1,82.3,74.9,1870
COR-093,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,15.38,4.04,43.9,17.8,59.1,79.6,78.8,531
COR-094,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,22.82,4.52,17.7,21.0,54.3,74.8,82.8,994
COR-095,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,5.73,3.47,59.2,17.6,43.8,95.2,72.5,1013
COR-096,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,19.16,3.59,30.5,42.5,48.3,86.7,54.5,2186
COR-097,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,6.03,4.36,39.8,26.4,51.4,85.1,73.3,1861
COR-098,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,18.84,4.67,26.0,48.5,63.0,93.5,94.5,2169
COR-099,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,21.69,3.49,44.6,50.1,59.2,77.3,71.8,2120
COR-100,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,15.07,5.0,71.1,27.8,48.8,93.4,100.0,209
COR-101,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,8.15,4.56,29.3,31.9,44.4,75.9,79.7,1216
COR-102,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,5.72,3.62,47.0,45.0,50.7,87.6,68.6,830
COR-103,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,24.91,4.6,19.8,29.9,45.4,65.1,76.8,2423
COR-104,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,22.95,4.42,37.6,47.7,45.7,100.0,72.4,1332
COR-105,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,27.0,4.79,30.9,32.2,71.5,88.9,88.8,789
COR-106,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,18.72,4.77,54.3,40.3,53.4,78.2,81.7,480
COR-107,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,22.77,4.44,22.7,19.2,62.5,81.6,77.6,481
COR-108,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,12.01,4.31,64.3,33.4,39.3,96.1,100.0,210
COR-109,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,4.49,3.78,53.3,27.4,53.3,86.1,68.1,95
COR-110,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,14.94,4.82,50.1,28.0,41.1,58.3,79.5,1711
COR-111,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,20.2,4.91,29.8,24.9,27.2,91.2,74.7,468
COR-112,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,6.86,3.42,15.7,27.0,56.5,89.4,70.1,2078
COR-113,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,12.22,3.33,23.5,19.3,58.8,80.3,79.0,851
COR-114,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,14.38,3.97,52.0,46.2,36.3,82.7,67.4,2386
COR-115,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,21.29,4.53,44.1,17.5,57.7,100.0,66.4,929
COR-116,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,19.42,4.39,28.0,34.7,46.5,88.3,65.9,2456
COR-117,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,16.69,3.18,27.5,28.2,34.4,81.3,56.2,1063
COR-118,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,18.3,4.41,35.2,31.0,57.5,82.4,87.4,2242
COR-119,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,15.48,4.06,50.5,36.8,70.5,87.8,78.1,2480
COR-120,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,11.5,4.85,34.8,27.3,40.3,74.6,96.1,2260
COR-121,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,20.8,4.11,28.0,23.1,56.9,86.2,70.1,1327
COR-122,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,16.45,4.3,35.0,24.1,42.1,83.5,79.3,665
COR-123,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,22.74,4.89,35.2,18.1,48.0,89.7,90.6,810
COR-124,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,13.89,3.99,43.9,24.0,49.7,100.0,88.1,842
COR-125,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,25.56,4.48,31.7,28.7,31.6,89.3,63.3,595
COR-126,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,10.85,4.1,20.6,8.0,56.4,77.0,82.2,1790
COR-127,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,22.43,4.86,53.7,27.8,40.5,80.9,76.2,2056
COR-128,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,12.54,5.0,15.8,24.3,63.6,72.7,98.9,872
COR-129,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,14.63,4.55,58.6,55.2,35.4,77.8,96.7,2326
COR-130,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,10.78,3.06,26.7,33.2,64.5,86.9,55.4,1339
COR-131,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,26.08,4.48,19.0,24.3,47.4,68.7,65.0,1167
COR-132,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,35.31,5.0,34.7,29.7,50.3,75.1,78.4,1647
COR-133,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,18.33,4.91,46.9,39.4,60.5,78.8,77.2,793
COR-134,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,22.42,4.26,38.8,22.2,47.3,92.8,66.1,222
COR-135,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,20.51,4.05,32.7,32.8,44.0,100.0,74.0,1187
COR-136,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,32.53,4.64,50.6,24.6,65.2,84.0,71.0,888
COR-137,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,33.15,4.19,23.4,36.5,67.7,79.0,54.7,829
COR-138,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,38.76,4.83,25.6,24.7,58.2,93.3,76.4,741
COR-139,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,14.68,4.55,14.0,21.6,51.9,68.3,73.0,982
COR-140,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,4.95,4.11,51.1,28.9,61.3,90.7,72.6,1467
COR-141,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,18.54,4.31,57.0,39.5,81.5,77.9,89.6,2462
COR-142,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,28.34,3.53,35.9,38.8,58.5,66.2,67.4,873
COR-143,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,26.21,4.55,41.1,24.5,45.3,81.7,82.2,1726
COR-144,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,8.72,4.11,56.5,48.0,45.1,84.8,86.5,107
COR-145,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,16.09,4.7,23.1,41.1,44.9,66.4,69.3,941
COR-146,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,12.81,4.43,36.0,18.5,57.9,83.2,71.7,1387
COR-147,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,19.67,4.14,62.9,33.8,56.3,92.3,70.9,2461
COR-148,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,16.67,4.2,38.6,23.1,50.7,71.7,79.3,1088
COR-149,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,21.52,5.0,47.3,25.2,27.4,66.6,72.3,1397
COR-150,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,13.63,4.45,51.3,19.6,58.1,71.5,97.4,596
