producto_id,nombre_producto,origen,categoria,ingrediente_clave,precio_usd,satisfaccion_1_5,mejora_acne_pct,mejora_manchas_pct,mejora_textura_pct,tolerancia_piel_sensible_pct,indice_calidad_precio_0_100,tamano_muestra_resenas
TRA-001,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,29.07,3.84,40.6,41.0,37.8,71.2,63.8,2067
TRA-002,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,16.28,3.74,25.9,41.0,30.9,88.8,69.1,1089
TRA-003,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,20.73,2.93,54.0,29.0,46.5,57.5,58.1,1747
TRA-004,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,36.9,4.32,55.7,39.8,52.7,74.9,65.8,1447
TRA-005,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,44.28,4.49,22.3,46.3,26.5,82.4,74.6,1520
TRA-006,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,17.12,2.61,32.1,17.1,63.7,80.1,61.6,1106
TRA-007,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,7.66,4.27,41.8,34.1,29.8,63.9,89.8,2491
TRA-008,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,16.46,2.59,51.6,36.4,45.3,65.1,41.3,1996
TRA-009,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,33.79,4.18,73.9,39.3,46.5,100.0,68.7,81
TRA-010,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,14.31,3.61,32.6,14.0,42.4,63.8,69.5,2286
TRA-011,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,29.52,3.54,45.5,13.9,49.3,65.7,57.8,1479
TRA-012,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,29.79,4.72,27.0,33.8,74.6,71.8,88.8,1063
TRA-013,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,16.99,4.59,36.8,29.7,53.0,76.5,89.7,225
TRA-014,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,29.03,3.56,33.1,38.2,30.3,62.5,53.9,752
TRA-015,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,46.11,3.79,39.2,33.5,42.2,79.5,48.3,520
TRA-016,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,9.64,3.08,45.4,33.0,49.0,55.2,41.4,1078
TRA-017,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,26.52,4.53,33.7,13.2,56.5,68.4,83.7,2002
TRA-018,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,36.39,3.11,17.4,18.0,57.9,44.3,42.4,1035
TRA-019,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,45.18,3.53,50.8,45.4,45.3,72.5,38.6,1233
TRA-020,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,29.58,3.16,64.4,38.0,35.5,65.2,49.0,1948
TRA-021,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,21.0,4.69,50.7,29.1,29.7,83.5,83.1,316
TRA-022,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,32.13,4.13,30.5,42.5,36.2,69.8,61.0,879
TRA-023,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,10.69,3.98,38.9,41.5,55.5,55.0,59.6,1283
TRA-024,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,5.0,4.2,43.7,31.8,48.4,85.6,91.3,91
TRA-025,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,21.64,3.64,57.3,39.8,51.2,58.9,52.4,209
TRA-026,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,33.12,3.69,51.0,34.4,35.3,100.0,44.4,1213
TRA-027,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,13.48,4.07,39.4,39.1,56.0,65.2,62.1,2059
TRA-028,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,20.26,3.92,35.2,36.6,51.9,68.0,73.4,469
TRA-029,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,17.98,2.91,58.6,46.7,19.8,58.1,62.2,2030
TRA-030,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,27.02,3.84,33.1,28.1,39.6,56.1,58.3,688
TRA-031,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,9.15,4.0,41.0,38.2,58.3,79.3,54.9,1588
TRA-032,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,36.08,4.46,39.2,44.9,37.9,49.6,68.6,1844
TRA-033,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,20.16,4.15,39.6,26.2,39.3,85.2,86.9,1991
TRA-034,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,25.2,4.38,20.3,35.2,43.8,74.1,67.1,782
TRA-035,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,29.33,2.85,40.9,28.3,50.6,81.3,50.5,2148
TRA-036,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,23.12,4.09,45.1,24.2,41.6,60.7,71.5,2359
TRA-037,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,39.62,5.0,32.5,41.9,47.6,84.2,80.4,1519
TRA-038,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,22.77,3.45,40.6,36.1,53.5,83.2,58.3,1748
TRA-039,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,35.95,2.44,43.6,35.8,43.8,57.4,40.8,2117
TRA-040,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,11.47,2.58,30.1,43.6,51.3,84.4,41.8,1907
TRA-041,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,33.28,4.7,48.8,38.5,70.0,57.0,77.8,1796
TRA-042,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,15.71,4.06,41.6,43.0,31.1,71.1,75.0,567
TRA-043,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,20.69,2.86,13.7,40.0,45.8,59.2,48.5,2249
TRA-044,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,36.14,3.8,45.3,36.2,54.1,54.6,56.8,2365
TRA-045,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,17.49,4.3,57.4,35.2,28.4,71.6,73.0,1510
TRA-046,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,5.01,4.25,47.9,41.7,71.6,81.1,83.2,2146
TRA-047,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,26.47,4.5,43.9,18.7,41.2,84.6,81.1,2003
TRA-048,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,40.7,4.1,38.1,22.8,37.0,74.2,64.9,2358
TRA-049,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,24.83,4.83,54.2,41.2,17.4,82.8,86.6,2077
TRA-050,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,15.83,4.09,20.7,19.7,38.5,54.5,57.2,1123
TRA-051,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,12.19,3.49,50.4,37.7,33.5,60.2,71.6,605
TRA-052,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,23.8,3.75,33.5,36.6,52.8,52.1,57.7,673
TRA-053,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,15.83,3.72,41.9,46.1,26.9,72.4,70.8,2146
TRA-054,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,23.17,3.6,25.0,30.7,35.4,39.9,59.5,555
TRA-055,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,26.62,4.01,49.1,55.3,31.1,61.1,76.1,154
TRA-056,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,40.8,3.72,45.3,16.5,52.6,89.5,59.8,1980
TRA-057,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,16.01,3.65,48.4,24.7,17.3,28.0,66.3,1705
TRA-058,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,33.0,4.1,43.9,28.5,9.5,63.7,71.7,1285
TRA-059,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,23.82,3.62,36.2,41.7,41.9,61.5,67.6,985
TRA-060,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,23.79,3.48,53.8,23.4,61.9,62.2,51.8,1799
TRA-061,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,16.72,3.98,34.2,9.6,53.4,81.0,70.0,751
TRA-062,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,22.9,3.76,44.5,34.0,52.4,67.4,58.9,975
TRA-063,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,13.27,3.84,74.0,22.9,51.3,48.2,65.3,2454
TRA-064,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,26.39,4.88,47.6,56.0,56.1,34.0,95.8,1713
TRA-065,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,44.1,3.85,29.4,17.8,43.3,59.7,69.1,667
TRA-066,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,17.54,3.28,41.3,24.3,41.8,85.2,50.4,611
TRA-067,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,17.11,4.85,44.8,37.3,34.0,59.0,89.1,960
TRA-068,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,26.99,4.28,53.4,32.1,41.8,100.0,66.2,1281
TRA-069,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,16.71,3.82,28.7,26.7,37.9,62.4,61.6,984
TRA-070,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,33.83,4.46,51.7,30.7,29.4,67.6,77.5,927
TRA-071,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,13.32,3.7,35.3,21.5,49.1,94.9,67.5,1232
TRA-072,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,12.11,4.75,44.7,32.5,57.8,86.1,86.8,1640
TRA-073,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,13.91,3.6,48.8,36.5,43.1,48.4,67.2,1329
TRA-074,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,18.02,4.34,42.9,34.4,24.5,68.3,90.9,120
TRA-075,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,29.13,3.43,49.5,19.3,68.2,88.2,57.5,1010
TRA-076,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,21.76,4.13,36.6,24.9,49.6,51.9,67.0,521
TRA-077,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,30.67,2.74,42.8,45.3,28.2,76.1,29.7,725
TRA-078,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,35.07,4.4,50.4,55.8,42.4,52.4,69.5,919
TRA-079,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,20.97,3.76,26.8,31.8,60.9,65.3,67.8,1529
TRA-080,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,44.42,3.48,52.8,38.9,44.5,68.2,55.0,712
TRA-081,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,24.92,4.3,35.6,37.1,36.3,53.3,58.4,1306
TRA-082,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,29.59,3.72,50.2,51.3,39.7,77.1,77.7,1165
TRA-083,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,29.01,3.94,57.3,21.9,46.9,79.7,65.9,422
TRA-084,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,32.86,4.5,15.7,24.7,61.7,61.1,75.4,485
TRA-085,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,7.98,4.87,59.4,52.7,52.9,67.1,91.4,658
TRA-086,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,46.91,3.39,46.9,34.7,61.7,74.6,45.3,2341
TRA-087,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,17.08,3.45,22.5,25.7,43.6,60.0,49.3,1394
TRA-088,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,26.98,3.85,23.0,1.4,55.6,99.1,65.8,681
TRA-089,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,32.54,2.47,20.8,27.1,27.9,57.9,34.2,262
TRA-090,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,10.22,4.7,40.7,45.9,39.2,56.9,74.0,663
TRA-091,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,25.47,4.06,48.1,14.0,54.7,59.2,81.4,1427
TRA-092,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,39.21,4.44,29.3,6.5,33.3,61.7,65.2,411
TRA-093,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,38.11,3.77,31.9,35.0,49.3,50.7,55.5,289
TRA-094,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,36.82,3.91,36.8,29.2,60.0,76.7,60.8,2423
TRA-095,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,16.31,4.24,53.8,3.6,62.7,63.4,75.2,1511
TRA-096,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,12.06,3.01,54.6,38.1,36.2,90.9,61.5,2101
TRA-097,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,17.07,3.74,61.1,39.3,49.9,40.5,51.6,1221
TRA-098,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,12.94,4.6,55.5,46.5,30.9,60.2,83.9,1671
TRA-099,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,26.08,4.04,11.4,48.3,38.0,53.9,68.5,1543
TRA-100,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,19.26,4.62,40.6,36.4,34.3,71.9,82.6,522
TRA-101,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,31.36,3.23,42.4,31.6,42.1,63.9,36.1,2252
TRA-102,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,26.4,3.36,15.7,28.7,42.9,69.2,61.2,2123
TRA-103,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,5.94,3.38,42.3,20.1,48.0,100.0,60.6,2470
TRA-104,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,22.32,3.49,15.8,26.5,34.5,57.3,54.9,1083
TRA-105,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,20.42,4.28,33.9,18.1,46.0,70.5,80.5,2231
TRA-106,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,24.85,3.51,55.9,25.4,64.6,62.0,57.0,2291
TRA-107,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,24.76,4.9,62.9,25.9,18.8,56.5,82.7,1097
TRA-108,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,6.27,5.0,46.3,32.6,57.5,65.3,100.0,1690
TRA-109,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,21.3,4.28,30.8,35.9,15.0,100.0,84.6,2126
TRA-110,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,10.15,3.7,58.9,37.6,46.0,65.9,76.6,919
TRA-111,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,20.11,4.26,0.0,40.9,46.3,65.7,84.1,1913
TRA-112,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,26.12,4.47,61.0,48.7,37.7,80.2,90.1,98
TRA-113,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,28.86,3.83,36.0,25.6,46.3,72.5,64.9,881
TRA-114,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,16.08,4.3,38.7,24.1,35.9,64.0,75.6,267
TRA-115,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,7.82,4.94,50.4,37.7,53.5,64.1,98.4,2311
TRA-116,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,22.45,3.45,27.0,23.8,54.5,57.2,63.3,1130
TRA-117,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,10.17,3.94,36.2,35.1,58.4,60.3,68.0,262
TRA-118,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,26.1,4.25,0.0,35.2,65.6,83.3,68.0,1091
TRA-119,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,28.27,3.25,26.8,20.9,46.0,69.2,41.9,929
TRA-120,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,31.07,3.71,48.8,42.7,36.1,44.5,66.0,2421
TRA-121,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,13.47,4.01,53.6,8.1,38.9,68.6,75.2,898
TRA-122,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,26.65,4.54,52.9,31.4,48.7,64.6,72.7,2345
TRA-123,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,17.91,4.34,42.6,38.5,54.8,60.2,76.6,602
TRA-124,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,30.16,4.02,42.2,35.4,36.6,61.6,74.9,992
TRA-125,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,21.91,4.14,39.3,0.0,44.2,45.8,60.7,971
TRA-126,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,15.69,3.05,37.0,36.9,18.0,84.7,64.5,1562
TRA-127,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,19.66,4.4,59.3,40.8,53.1,64.6,79.3,901
TRA-128,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,6.56,3.7,43.7,31.2,33.5,46.2,71.6,2180
TRA-129,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,21.24,3.25,52.0,35.1,45.0,75.2,61.7,819
TRA-130,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,15.34,3.33,39.5,27.1,40.8,87.9,53.2,2075
TRA-131,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,39.49,4.3,49.3,28.8,37.1,67.4,56.4,1631
TRA-132,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,29.2,3.02,67.4,42.4,56.3,67.8,61.3,304
TRA-133,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,29.66,2.97,52.0,27.3,39.2,70.2,45.7,1182
TRA-134,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,25.88,4.28,43.4,27.7,45.8,66.4,59.9,1059
TRA-135,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,18.02,4.22,41.7,30.5,36.2,56.7,78.1,1497
TRA-136,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,35.23,3.3,25.1,21.7,44.3,71.3,52.6,295
TRA-137,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,25.98,4.08,65.4,35.0,39.4,72.3,56.1,2375
TRA-138,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,22.1,3.89,18.5,35.2,68.3,66.1,63.9,2337
TRA-139,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,35.23,3.12,43.7,60.5,25.3,65.2,47.1,2458
TRA-140,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,19.76,4.31,47.3,37.5,44.6,70.6,63.4,2086
TRA-141,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,28.88,4.01,31.7,38.1,44.2,57.0,80.3,574
TRA-142,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,35.38,3.79,37.6,14.5,50.7,71.8,60.8,1716
TRA-143,Kiehl's Ultra Facial Cream,Tradicional,crema hidratante,escualano + glicerina,24.66,4.44,11.4,27.1,49.6,85.4,69.6,428
TRA-144,Paula's Choice BHA Liquid Exfoliant,Tradicional,exfoliante,ácido salicílico,31.44,3.41,70.4,30.0,39.7,56.9,51.0,1602
TRA-145,CeraVe Moisturizing Cream,Tradicional,crema hidratante,ceramidas,17.28,5.0,20.5,60.1,40.3,64.8,97.6,764
TRA-146,The Ordinary Niacinamide 10% + Zinc 1%,Tradicional,serum,niacinamida + zinc,16.9,3.04,46.7,14.0,60.5,48.6,47.5,1980
TRA-147,Neutrogena Rapid Wrinkle Repair,Tradicional,crema tratamiento,retinol,9.38,4.19,50.2,38.3,33.6,60.9,83.1,740
TRA-148,La Roche-Posay Effaclar Duo,Tradicional,gel tratamiento,ácido salicílico + niacinamida,22.11,4.92,63.6,34.3,33.2,47.4,94.7,2259
TRA-149,Olay Regenerist Micro-Sculpting Cream,Tradicional,crema,péptidos + niacinamida,24.86,3.05,44.0,22.7,31.6,60.0,37.5,1993
TRA-150,Clinique Dramatically Different Moisturizing Lotion,Tradicional,loción,glicerina,19.21,4.73,41.2,41.5,59.2,60.8,92.7,1073
